sample_id,sampling_frame,selection_seed,records,support,refute,uncertain,pubhealth,healthver,medaesqa,scifact,components,largest_component_records,largest_component_share,unique_normalized_claims,unique_source_hashes,entity_linked_count,entity_linked_rate,has_local_path_count,has_local_path_rate,has_direct_edge_count,has_direct_edge_rate,has_predicate_aligned_direct_count,has_predicate_aligned_direct_rate,has_qualifier_compatible_direct_count,has_qualifier_compatible_direct_rate
formal600_id_sorted,id_sorted_original,not_applicable,600,200,200,200,0,296,180,124,172,94,0.15666666666666668,277,350,439,0.7316666666666667,167,0.2783333333333333,78,0.13,11,0.018333333333333333,2,0.0033333333333333335
full_6454_pool_seed_20260618,full_6454_pool,20260618,600,200,200,200,415,85,62,38,531,11,0.018333333333333333,568,561,343,0.5716666666666667,111,0.185,29,0.04833333333333333,2,0.0033333333333333335,1,0.0016666666666666668
full_6454_pool_seed_20260619,full_6454_pool,20260619,600,200,200,200,410,98,66,26,538,10,0.016666666666666666,562,573,347,0.5783333333333334,119,0.19833333333333333,32,0.05333333333333334,2,0.0033333333333333335,1,0.0016666666666666668
full_6454_pool_seed_20260620,full_6454_pool,20260620,600,200,200,200,396,98,68,38,532,12,0.02,563,563,368,0.6133333333333333,116,0.19333333333333333,29,0.04833333333333333,1,0.0016666666666666668,0,0.0
full_6454_pool_seed_20260621,full_6454_pool,20260621,600,200,200,200,424,88,53,35,549,8,0.013333333333333334,575,572,343,0.5716666666666667,114,0.19,25,0.041666666666666664,1,0.0016666666666666668,0,0.0
full_6454_pool_seed_20260622,full_6454_pool,20260622,600,200,200,200,399,116,57,28,517,8,0.013333333333333334,560,551,333,0.555,98,0.16333333333333333,24,0.04,1,0.0016666666666666668,1,0.0016666666666666668
full_6454_pool_seed_20260623,full_6454_pool,20260623,600,200,200,200,413,89,60,38,533,6,0.01,565,564,333,0.555,125,0.20833333333333334,25,0.041666666666666664,3,0.005,1,0.0016666666666666668
full_6454_pool_seed_20260624,full_6454_pool,20260624,600,200,200,200,402,97,62,39,543,7,0.011666666666666667,569,568,352,0.5866666666666667,116,0.19333333333333333,39,0.065,2,0.0033333333333333335,1,0.0016666666666666668
full_6454_pool_seed_20260625,full_6454_pool,20260625,600,200,200,200,420,93,53,34,534,12,0.02,569,563,340,0.5666666666666667,117,0.195,32,0.05333333333333334,2,0.0033333333333333335,0,0.0
full_6454_pool_seed_20260626,full_6454_pool,20260626,600,200,200,200,423,97,49,31,550,8,0.013333333333333334,573,573,345,0.575,126,0.21,28,0.04666666666666667,0,0.0,0,0.0
full_6454_pool_seed_20260627,full_6454_pool,20260627,600,200,200,200,413,92,57,38,549,8,0.013333333333333334,575,572,331,0.5516666666666666,113,0.18833333333333332,29,0.04833333333333333,1,0.0016666666666666668,0,0.0
matched_source_frame_seed_20260618,matched_source_frame,20260618,600,200,200,200,0,304,172,124,220,28,0.04666666666666667,389,371,441,0.735,177,0.295,64,0.10666666666666667,7,0.011666666666666667,2,0.0033333333333333335
matched_source_frame_seed_20260619,matched_source_frame,20260619,600,200,200,200,0,322,164,114,214,29,0.04833333333333333,373,361,447,0.745,195,0.325,66,0.11,7,0.011666666666666667,2,0.0033333333333333335
matched_source_frame_seed_20260620,matched_source_frame,20260620,600,200,200,200,0,322,165,113,219,25,0.041666666666666664,380,362,441,0.735,173,0.28833333333333333,53,0.08833333333333333,5,0.008333333333333333,1,0.0016666666666666668
matched_source_frame_seed_20260621,matched_source_frame,20260621,600,200,200,200,0,309,172,119,220,29,0.04833333333333333,380,366,437,0.7283333333333334,202,0.33666666666666667,72,0.12,4,0.006666666666666667,1,0.0016666666666666668
matched_source_frame_seed_20260622,matched_source_frame,20260622,600,200,200,200,0,321,168,111,218,26,0.043333333333333335,388,354,443,0.7383333333333333,180,0.3,62,0.10333333333333333,9,0.015,3,0.005
matched_source_frame_seed_20260623,matched_source_frame,20260623,600,200,200,200,0,305,174,121,226,48,0.08,384,370,434,0.7233333333333334,198,0.33,69,0.115,11,0.018333333333333333,5,0.008333333333333333
matched_source_frame_seed_20260624,matched_source_frame,20260624,600,200,200,200,0,323,158,119,218,31,0.051666666666666666,378,357,431,0.7183333333333334,172,0.2866666666666667,55,0.09166666666666666,5,0.008333333333333333,2,0.0033333333333333335
matched_source_frame_seed_20260625,matched_source_frame,20260625,600,200,200,200,0,318,165,117,218,43,0.07166666666666667,382,355,430,0.7166666666666667,166,0.27666666666666667,54,0.09,3,0.005,0,0.0
matched_source_frame_seed_20260626,matched_source_frame,20260626,600,200,200,200,0,318,168,114,224,29,0.04833333333333333,387,369,447,0.745,201,0.335,66,0.11,7,0.011666666666666667,0,0.0
matched_source_frame_seed_20260627,matched_source_frame,20260627,600,200,200,200,0,319,173,108,216,36,0.06,384,365,441,0.735,188,0.31333333333333335,61,0.10166666666666667,3,0.005,1,0.0016666666666666668
