domain,record_id,method,prompt_sha256,prompt_hash_status,request_payload_sha256,request_payload_hash_status,parsed_prediction_sha256,request_status,request_count,retry_count
formal600,medfact_bench_0,bm25_only_diagnostic,baef995eea650e0e3876fd4cf41e3dea8d28b8b690cc109bc49bc9d59303a6d6,recorded,,not_persisted_in_historical_run,561929cd2d8b11cae0a42bd4f933d3a1e8c99d96b82615f04e590fa1a8f47d98,success,1,0
formal600,medfact_bench_1,bm25_only_diagnostic,22283b51d0e474683bf34e7d0db5771dd7286fd3f1e78eaa1bfb190c146c61cd,recorded,,not_persisted_in_historical_run,28416b59a745c6a415b2b05ed3f0549642890f1ed997e898c81b328f8541f322,success,1,0
formal600,medfact_bench_10,bm25_only_diagnostic,0f229b90b376116ea056a6051f958290df9c57fb5f892b22e50fd84d0635987e,recorded,,not_persisted_in_historical_run,c95451b0ef59d301a3855768b91ed31240c6ec75c4f1b107d99c23faca7c7d5e,success,1,0
formal600,medfact_bench_100,bm25_only_diagnostic,6ff0de3170d6870b18ef8f7918b5509d9531c22eb0fa46733fa9b0d0a9e937ff,recorded,,not_persisted_in_historical_run,cdee3d310a3b0db7f49e7df33270a187496675df25129657d81762b899491af8,success,1,0
formal600,medfact_bench_1000,bm25_only_diagnostic,7a0e05bf2712c375927a8cb3c52b72703830740a5034f831e4e223d9ebda72fb,recorded,,not_persisted_in_historical_run,0fc1239a07121c5f2d7c4d07adcec13a480fa0aee6ca0a2a137a26662cdec9c1,success,1,0
formal600,medfact_bench_1001,bm25_only_diagnostic,7a0e05bf2712c375927a8cb3c52b72703830740a5034f831e4e223d9ebda72fb,recorded,,not_persisted_in_historical_run,4f2cd8324c1de0dc03b1076f1175bce05c000ea086d316d634e0cbd1c34e67b6,success,1,0
formal600,medfact_bench_1002,bm25_only_diagnostic,7a0e05bf2712c375927a8cb3c52b72703830740a5034f831e4e223d9ebda72fb,recorded,,not_persisted_in_historical_run,c4725d2e83747922633603fd692eadf4cfc04f0a262224b70d8f86956ce05c19,success,1,0
formal600,medfact_bench_1003,bm25_only_diagnostic,7a0e05bf2712c375927a8cb3c52b72703830740a5034f831e4e223d9ebda72fb,recorded,,not_persisted_in_historical_run,9bcbdd2fbedf1008ca2bb148d9c852913e0ca27f255e30fca52a7c0257479bcd,success,1,0
formal600,medfact_bench_1004,bm25_only_diagnostic,7a0e05bf2712c375927a8cb3c52b72703830740a5034f831e4e223d9ebda72fb,recorded,,not_persisted_in_historical_run,c5a410964e8d3a3a4cb4ec9792f48f960f17cf849f0a70887ccc1c128dfb45a1,success,1,0
formal600,medfact_bench_1005,bm25_only_diagnostic,7a0e05bf2712c375927a8cb3c52b72703830740a5034f831e4e223d9ebda72fb,recorded,,not_persisted_in_historical_run,02a6a5de8a85d21459e9f9125490e1446a64a12e5896f99562350607353a6daa,success,1,0
formal600,medfact_bench_1006,bm25_only_diagnostic,7a0e05bf2712c375927a8cb3c52b72703830740a5034f831e4e223d9ebda72fb,recorded,,not_persisted_in_historical_run,1626941822f577bcfd55cc6cf07e455ac6bfcdcee04517c552b922089c159e12,success,1,0
formal600,medfact_bench_1007,bm25_only_diagnostic,a76cd0c26e16cc3fc43fed16d98b2d41f0048df8e6408a70b3452cc2963ded18,recorded,,not_persisted_in_historical_run,39c2beb45f69cd5523dca07861ea7a20f82cf5f9ed63a2311128d2468cb6a360,success,1,0
formal600,medfact_bench_1008,bm25_only_diagnostic,73641fa1fb02af31e2884aa52c513f651aab5579f52f71154dd5ee98158a6fe8,recorded,,not_persisted_in_historical_run,d7245de82ff38767027a59f4c7bb58b3cda2a2dbc823d6ca093328d255aa95b8,success,1,0
formal600,medfact_bench_1009,bm25_only_diagnostic,a76cd0c26e16cc3fc43fed16d98b2d41f0048df8e6408a70b3452cc2963ded18,recorded,,not_persisted_in_historical_run,5e85a8d7ec08fa8158fbfd40e12756c06d7bd155f6a38a6625ca54acfef29f5e,success,1,0
formal600,medfact_bench_101,bm25_only_diagnostic,fa44a1815a3ef1e43fc415911131c42ae3af42526822403d16cf6393b5dcf540,recorded,,not_persisted_in_historical_run,eb3cdd8c54f6eda219945e8c257ed05cf80022491dbe0bc8dff2067b79171c45,success,1,0
formal600,medfact_bench_1010,bm25_only_diagnostic,a76cd0c26e16cc3fc43fed16d98b2d41f0048df8e6408a70b3452cc2963ded18,recorded,,not_persisted_in_historical_run,f5b03ee57b45819f893113095a5e197a9bd72a18409fbe73b13f606eae9cfa00,success,1,0
