audit_order,id,dataset,claim_sha256,gold_label,predicted_link_count,predicted_links_json,annotator_a_gold_biomedical_mentions_json,annotator_b_gold_biomedical_mentions_json,final_gold_biomedical_mentions_json,annotator_a_gold_concept_links_json,annotator_b_gold_concept_links_json,final_gold_concept_links_json,annotator_a_incorrect_predicted_links_json,annotator_b_incorrect_predicted_links_json,final_incorrect_predicted_links_json,annotator_a_abbreviation_ambiguity,annotator_b_abbreviation_ambiguity,final_abbreviation_ambiguity,annotator_a_overall_linking_judgment,annotator_b_overall_linking_judgment,final_overall_linking_judgment,disagreement_fields
1,medfact_bench_1178,healthver,3a569fcb824a44b38f5963cd70a9e722b0c7eb8f0fc45a855f5258bdb4bbf6bb,UNCERTAIN,2,"[{""node_id"": ""Side Effect::C0037383"", ""name"": """", ""kind"": ""Side Effect"", ""matched_alias"": ""Sneezes"", ""normalized_alias"": ""sneezes"", ""match_type"": ""alias_in_claim"", ""score"": 0.85, ""matched_alias_source"": ""umls:RCD"", ""external_id"": ""C0037383""}, {""node_id"": ""Symptom::D012912"", ""name"": """", ""kind"": ""Symptom"", ""matched_alias"": ""Sneezes"", ""normalized_alias"": ""sneezes"", ""match_type"": ""alias_in_claim"", ""score"": 0.85, ""matched_alias_source"": ""umls:RCD"", ""external_id"": ""C0037383""}]","[""coughs"",""sneezes""]","[""coughs"",""sneezes""]","[""coughs"",""sneezes""]","[{""mention"":""coughs"",""concept_id"":""UNRESOLVED"",""entity_type"":""Symptom""},{""mention"":""sneezes"",""concept_id"":""Symptom::D012912"",""entity_type"":""Symptom""}]","[{""mention"":""coughs"",""concept_id"":""UNRESOLVED"",""entity_type"":""Symptom""},{""mention"":""sneezes"",""concept_id"":""Symptom::D012912"",""entity_type"":""Symptom""}]","[{""mention"":""coughs"",""concept_id"":""UNRESOLVED"",""entity_type"":""Symptom""},{""mention"":""sneezes"",""concept_id"":""Symptom::D012912"",""entity_type"":""Symptom""}]",[],[],[],NO,NO,NO,PARTIAL,PARTIAL,PARTIAL,
2,medfact_bench_1171,healthver,441880e5ab948917f8fa2e8b0074ed35f7cf3bb031030cc8930e6e30a82b41d3,SUPPORT,0,[],[],[],[],[],[],[],[],[],[],NO,NO,NO,CORRECT,CORRECT,CORRECT,
3,medfact_bench_1233,healthver,5e75455646ecb5bf4221cf0f416182408514bb0dbd7c2118dc1a77a3e8df3a17,UNCERTAIN,5,"[{""node_id"": ""Anatomy::UBERON:0002405"", ""name"": ""immune system"", ""kind"": ""Anatomy"", ""matched_alias"": ""immune system"", ""normalized_alias"": ""immune system"", ""match_type"": ""alias_in_claim"", ""score"": 0.85, ""matched_alias_source"": ""hetionet"", ""external_id"": """"}, {""node_id"": ""Disease::DOID:9074"", ""name"": """", ""kind"": ""Disease"", ""matched_alias"": ""Lupus"", ""normalized_alias"": ""lupus"", ""match_type"": ""alias_in_claim"", ""score"": 0.85, ""matched_alias_source"": ""mondo"", ""external_id"": ""http://purl.obolibrary.org/obo/MONDO_0007915""}, {""node_id"": ""Pathway::PC7_4688"", ""name"": ""Immune System"", ""kind"": ""Pathway"", ""matched_alias"": ""Immune System"", ""normalized_alias"": ""immune system"", ""match_type"": ""alias_in_claim"", ""score"": 0.85, ""matched_alias_source"": ""hetionet"", ""external_id"": """"}, {""node_id"": ""Side Effect::C0024138"", ""name"": """", ""kind"": ""Side Effect"", ""matched_alias"": ""lupus"", ""normalized_alias"": ""lupus"", ""match_type"": ""alias_in_claim"", ""score"": 0.85, ""matched_alias_source"": ""umls:CSP"", ""external_id"": ""C0024138""}, {""node_id"": ""Side Effect::C0409974"", ""name"": """", ""kind"": ""Side Effect"", ""matched_alias"": ""Lupus"", ""normalized_alias"": ""lupus"", ""match_type"": ""alias_in_claim"", ""score"": 0.85, ""matched_alias_source"": ""umls:RCD"", ""external_id"": ""C0409974""}]","[""lupus"",""immune system""]","[""lupus"",""immune system""]","[""lupus"",""immune system""]","[{""mention"":""lupus"",""concept_id"":""Disease::DOID:9074"",""entity_type"":""Disease""},{""mention"":""immune system"",""concept_id"":""Anatomy::UBERON:0002405"",""entity_type"":""Anatomy""}]","[{""mention"":""lupus"",""concept_id"":""Disease::DOID:9074"",""entity_type"":""Disease""},{""mention"":""immune system"",""concept_id"":""Anatomy::UBERON:0002405"",""entity_type"":""Anatomy""}]","[{""mention"":""lupus"",""concept_id"":""Disease::DOID:9074"",""entity_type"":""Disease""},{""mention"":""immune system"",""concept_id"":""Anatomy::UBERON:0002405"",""entity_type"":""Anatomy""}]","[{""node_id"":""Pathway::PC7_4688"",""mention"":""immune system"",""reason"":""WRONG_TYPE""},{""node_id"":""Side Effect::C0409974"",""mention"":""lupus"",""reason"":""OVER_SPECIFIC""}]","[{""node_id"":""Side Effect::C0409974"",""mention"":""lupus"",""reason"":""OVER_SPECIFIC""}]","[{""node_id"":""Pathway::PC7_4688"",""mention"":""immune system"",""reason"":""WRONG_TYPE""},{""node_id"":""Side Effect::C0409974"",""mention"":""lupus"",""reason"":""OVER_SPECIFIC""}]",NO,NO,NO,PARTIAL,PARTIAL,PARTIAL,incorrect_predicted_links_json
4,medfact_bench_1127,healthver,b8d9221b057af173c71af6831616d4fc672456121e2917ce355d8b222edeb824,REFUTE,0,[],[],[],[],[],[],[],[],[],[],NO,NO,NO,CORRECT,CORRECT,CORRECT,
5,medfact_bench_1075,healthver,03506dc6e15832eaf975065b9a5f791f3b367a40931d6fb4862c89041c73c873,SUPPORT,5,"[{""node_id"": ""Compound::DB01050"", ""name"": """", ""kind"": ""Compound"", ""matched_alias"": ""ibuprofen"", ""normalized_alias"": ""ibuprofen"", ""match_type"": ""alias_in_claim"", ""score"": 0.85, ""matched_alias_source"": ""umls:CSP"", ""external_id"": ""C0020740""}, {""node_id"": ""Compound::DB00635"", ""name"": ""Prednisone"", ""kind"": ""Compound"", ""matched_alias"": ""Prednisone"", ""normalized_alias"": ""prednisone"", ""match_type"": ""alias_in_claim"", ""score"": 0.85, ""matched_alias_source"": ""hetionet"", ""external_id"": """"}, {""node_id"": ""Side Effect::C0030193"", ""name"": """", ""kind"": ""Side Effect"", ""matched_alias"": ""Pain"", ""normalized_alias"": ""pain"", ""match_type"": ""alias_in_claim"", ""score"": 0.85, ""matched_alias_source"": ""umls:MSH"", ""external_id"": ""C0030193""}, {""node_id"": ""Side Effect::C0332575"", ""name"": ""Redness"", ""kind"": ""Side Effect"", ""matched_alias"": ""Redness"", ""normalized_alias"": ""redness"", ""match_type"": ""alias_in_claim"", ""score"": 0.85, ""matched_alias_source"": ""hetionet"", ""external_id"": """"}, {""node_id"": ""Side Effect::C0038999"", ""name"": ""Swelling"", ""kind"": ""Side Effect"", ""matched_alias"": ""Swelling"", ""normalized_alias"": ""swelling"", ""match_type"": ""alias_in_claim"", ""score"": 0.85, ""matched_alias_source"": ""hetionet"", ""external_id"": """"}]","[""Anti-inflammatory drugs"",""steroids"",""prednisone"",""non-steroidal drugs"",""ibuprofen"",""inflammation"",""pain"",""swelling"",""redness""]","[""Anti-inflammatory drugs"",""steroids"",""prednisone"",""non-steroidal drugs"",""ibuprofen"",""inflammation"",""pain"",""swelling"",""redness""]","[""Anti-inflammatory drugs"",""steroids"",""prednisone"",""non-steroidal drugs"",""ibuprofen"",""inflammation"",""pain"",""swelling"",""redness""]","[{""mention"":""Anti-inflammatory drugs"",""concept_id"":""UNRESOLVED"",""entity_type"":""Pharmacologic Class""},{""mention"":""steroids"",""concept_id"":""UNRESOLVED"",""entity_type"":""Pharmacologic Class""},{""mention"":""prednisone"",""concept_id"":""Compound::DB00635"",""entity_type"":""Compound""},{""mention"":""non-steroidal drugs"",""concept_id"":""UNRESOLVED"",""entity_type"":""Pharmacologic Class""},{""mention"":""ibuprofen"",""concept_id"":""Compound::DB01050"",""entity_type"":""Compound""},{""mention"":""inflammation"",""concept_id"":""UNRESOLVED"",""entity_type"":""Biological Process""},{""mention"":""pain"",""concept_id"":""Side Effect::C0030193"",""entity_type"":""Side Effect""},{""mention"":""swelling"",""concept_id"":""Side Effect::C0038999"",""entity_type"":""Side Effect""},{""mention"":""redness"",""concept_id"":""Side Effect::C0332575"",""entity_type"":""Side Effect""}]","[{""mention"":""Anti-inflammatory drugs"",""concept_id"":""UNRESOLVED"",""entity_type"":""Compound""},{""mention"":""steroids"",""concept_id"":""UNRESOLVED"",""entity_type"":""Compound""},{""mention"":""prednisone"",""concept_id"":""Compound::DB00635"",""entity_type"":""Compound""},{""mention"":""non-steroidal drugs"",""concept_id"":""UNRESOLVED"",""entity_type"":""Compound""},{""mention"":""ibuprofen"",""concept_id"":""Compound::DB01050"",""entity_type"":""Compound""},{""mention"":""inflammation"",""concept_id"":""Biological Process::GO:0006954"",""entity_type"":""Biological Process""},{""mention"":""pain"",""concept_id"":""Side Effect::C0030193"",""entity_type"":""Symptom""},{""mention"":""swelling"",""concept_id"":""Side Effect::C0038999"",""entity_type"":""Symptom""},{""mention"":""redness"",""concept_id"":""Side Effect::C0332575"",""entity_type"":""Symptom""}]","[{""mention"":""Anti-inflammatory drugs"",""concept_id"":""UNRESOLVED"",""entity_type"":""Pharmacologic Class""},{""mention"":""steroids"",""concept_id"":""UNRESOLVED"",""entity_type"":""Pharmacologic Class""},{""mention"":""prednisone"",""concept_id"":""Compound::DB00635"",""entity_type"":""Compound""},{""mention"":""non-steroidal drugs"",""concept_id"":""UNRESOLVED"",""entity_type"":""Pharmacologic Class""},{""mention"":""ibuprofen"",""concept_id"":""Compound::DB01050"",""entity_type"":""Compound""},{""mention"":""inflammation"",""concept_id"":""Biological Process::GO:0006954"",""entity_type"":""Biological Process""},{""mention"":""pain"",""concept_id"":""Side Effect::C0030193"",""entity_type"":""Symptom""},{""mention"":""swelling"",""concept_id"":""Side Effect::C0038999"",""entity_type"":""Symptom""},{""mention"":""redness"",""concept_id"":""Side Effect::C0332575"",""entity_type"":""Symptom""}]",[],[],[],NO,NO,NO,PARTIAL,PARTIAL,PARTIAL,gold_concept_links_json
6,medfact_bench_1217,healthver,41f4361cf53a3ff57b2af358b5c2647e9c9d10f6bc3e905f50f0bee627d8654d,SUPPORT,3,"[{""node_id"": ""Compound::DB00153"", ""name"": """", ""kind"": ""Compound"", ""matched_alias"": ""Vitamin D"", ""normalized_alias"": ""vitamin d"", ""match_type"": ""alias_in_claim"", ""score"": 0.85, ""matched_alias_source"": ""umls:LNC"", ""external_id"": ""C0014695""}, {""node_id"": ""Compound::DB11094"", ""name"": ""Vitamin D"", ""kind"": ""Compound"", ""matched_alias"": ""Vitamin D"", ""normalized_alias"": ""vitamin d"", ""match_type"": ""alias_in_claim"", ""score"": 0.85, ""matched_alias_source"": ""primekg"", ""external_id"": ""DB11094""}, {""node_id"": ""Pharmacologic Class::N0000006277"", ""name"": ""Vitamin D"", ""kind"": ""Pharmacologic Class"", ""matched_alias"": ""Vitamin D"", ""normalized_alias"": ""vitamin d"", ""match_type"": ""alias_in_claim"", ""score"": 0.85, ""matched_alias_source"": ""hetionet"", ""external_id"": """"}]","[""vitamin D"",""COVID-19""]","[""vitamin D"",""coronavirus (COVID-19)""]","[""vitamin D"",""coronavirus (COVID-19)""]","[{""mention"":""vitamin D"",""concept_id"":""Compound::DB11094"",""entity_type"":""Compound""},{""mention"":""COVID-19"",""concept_id"":""UNRESOLVED"",""entity_type"":""Disease""}]","[{""mention"":""vitamin D"",""concept_id"":""Compound::DB11094"",""entity_type"":""Compound""},{""mention"":""coronavirus (COVID-19)"",""concept_id"":""Disease::DOID:0080600"",""entity_type"":""Disease""}]","[{""mention"":""vitamin D"",""concept_id"":""Compound::DB11094"",""entity_type"":""Compound""},{""mention"":""coronavirus (COVID-19)"",""concept_id"":""Disease::DOID:0080600"",""entity_type"":""Disease""}]","[{""node_id"":""Compound::DB00153"",""mention"":""vitamin D"",""reason"":""OVER_SPECIFIC""}]","[{""node_id"":""Compound::DB00153"",""mention"":""vitamin D"",""reason"":""OVER_SPECIFIC""}]","[{""node_id"":""Compound::DB00153"",""mention"":""vitamin D"",""reason"":""OVER_SPECIFIC""}]",NO,NO,NO,PARTIAL,PARTIAL,PARTIAL,gold_biomedical_mentions_json;gold_concept_links_json;missed_mentions_json
7,medfact_bench_341,healthver,2d82db588868e7aacfa0b65d8529e6ec74217236dddb5f1babc7fd8803d97f27,REFUTE,0,[],"[""coronavirus""]","[""coronavirus""]","[""coronavirus""]","[{""mention"":""coronavirus"",""concept_id"":""UNRESOLVED"",""entity_type"":""Organism""}]","[{""mention"":""coronavirus"",""concept_id"":""Organism::NCBITaxon:2697049"",""entity_type"":""Organism""}]","[{""mention"":""coronavirus"",""concept_id"":""Organism::NCBITaxon:2697049"",""entity_type"":""Organism""}]",[],[],[],NO,NO,NO,INCORRECT,INCORRECT,INCORRECT,gold_concept_links_json
8,medfact_bench_427,healthver,f524691c2f164d5c06e52a4b47eb67ff207639578825caa0d56bc2c48ccda87e,REFUTE,2,"[{""node_id"": ""Compound::DB00184"", ""name"": """", ""kind"": ""Compound"", ""matched_alias"": ""nicotine"", ""normalized_alias"": ""nicotine"", ""match_type"": ""alias_in_claim"", ""score"": 0.85, ""matched_alias_source"": ""umls:CSP"", ""external_id"": ""C0028040""}, {""node_id"": ""Pharmacologic Class::N0000006496"", ""name"": """", ""kind"": ""Pharmacologic Class"", ""matched_alias"": ""nicotine"", ""normalized_alias"": ""nicotine"", ""match_type"": ""alias_in_claim"", ""score"": 0.85, ""matched_alias_source"": ""umls:CSP"", ""external_id"": ""C0028040""}]","[""Nicotine Patches"",""Nicotine"",""COVID-19""]","[""Nicotine Patches"",""COVID-19""]","[""Nicotine Patches"",""Nicotine"",""COVID-19""]","[{""mention"":""Nicotine Patches"",""concept_id"":""UNRESOLVED"",""entity_type"":""Procedure""},{""mention"":""Nicotine"",""concept_id"":""Compound::DB00184"",""entity_type"":""Compound""},{""mention"":""COVID-19"",""concept_id"":""UNRESOLVED"",""entity_type"":""Disease""}]","[{""mention"":""Nicotine Patches"",""concept_id"":""UNRESOLVED"",""entity_type"":""Procedure""},{""mention"":""COVID-19"",""concept_id"":""Disease::DOID:0080600"",""entity_type"":""Disease""}]","[{""mention"":""Nicotine Patches"",""concept_id"":""UNRESOLVED"",""entity_type"":""Procedure""},{""mention"":""Nicotine"",""concept_id"":""Compound::DB00184"",""entity_type"":""Compound""},{""mention"":""COVID-19"",""concept_id"":""Disease::DOID:0080600"",""entity_type"":""Disease""}]","[{""node_id"":""Pharmacologic Class::N0000006496"",""mention"":""Nicotine"",""reason"":""WRONG_TYPE""}]","[{""node_id"":""Compound::DB00184"",""mention"":""Nicotine Patches"",""reason"":""UNDER_SPECIFIC""},{""node_id"":""Pharmacologic Class::N0000006496"",""mention"":""Nicotine Patches"",""reason"":""UNDER_SPECIFIC""}]","[{""node_id"":""Pharmacologic Class::N0000006496"",""mention"":""Nicotine"",""reason"":""WRONG_TYPE""}]",NO,NO,NO,PARTIAL,INCORRECT,PARTIAL,gold_biomedical_mentions_json;gold_concept_links_json;incorrect_predicted_links_json;overall_linking_judgment
9,medfact_bench_1097,healthver,f31638232cd90960687afa65711a1d21c5f7e92df619fadcdbc1512169cb3340,UNCERTAIN,1,"[{""node_id"": ""Compound::DB01611"", ""name"": """", ""kind"": ""Compound"", ""matched_alias"": ""hydroxychloroquine"", ""normalized_alias"": ""hydroxychloroquine"", ""match_type"": ""alias_in_claim"", ""score"": 0.85, ""matched_alias_source"": ""umls:CSP"", ""external_id"": ""C0020336""}]","[""hydroxychloroquine"",""covid-19""]","[""hydroxychloroquine"",""covid-19""]","[""hydroxychloroquine"",""covid-19""]","[{""mention"":""hydroxychloroquine"",""concept_id"":""Compound::DB01611"",""entity_type"":""Compound""},{""mention"":""covid-19"",""concept_id"":""UNRESOLVED"",""entity_type"":""Disease""}]","[{""mention"":""hydroxychloroquine"",""concept_id"":""Compound::DB01611"",""entity_type"":""Compound""},{""mention"":""covid-19"",""concept_id"":""Disease::DOID:0080600"",""entity_type"":""Disease""}]","[{""mention"":""hydroxychloroquine"",""concept_id"":""Compound::DB01611"",""entity_type"":""Compound""},{""mention"":""covid-19"",""concept_id"":""Disease::DOID:0080600"",""entity_type"":""Disease""}]",[],[],[],NO,NO,NO,PARTIAL,PARTIAL,PARTIAL,gold_concept_links_json
10,medfact_bench_441,healthver,fd0343175079e85fc811a6f7108089801ce49590ef16f8294ff737152d854cd5,REFUTE,0,[],"[""Cats"",""coronavirus"",""humans""]","[""Cats"",""coronavirus"",""humans""]","[""Cats"",""coronavirus"",""humans""]","[{""mention"":""Cats"",""concept_id"":""UNRESOLVED"",""entity_type"":""Organism""},{""mention"":""coronavirus"",""concept_id"":""UNRESOLVED"",""entity_type"":""Organism""},{""mention"":""humans"",""concept_id"":""UNRESOLVED"",""entity_type"":""Organism""}]","[{""mention"":""Cats"",""concept_id"":""Organism::NCBITaxon:9685"",""entity_type"":""Organism""},{""mention"":""coronavirus"",""concept_id"":""Organism::NCBITaxon:2697049"",""entity_type"":""Organism""},{""mention"":""humans"",""concept_id"":""Organism::NCBITaxon:9606"",""entity_type"":""Organism""}]","[{""mention"":""Cats"",""concept_id"":""Organism::NCBITaxon:9685"",""entity_type"":""Organism""},{""mention"":""coronavirus"",""concept_id"":""Organism::NCBITaxon:2697049"",""entity_type"":""Organism""},{""mention"":""humans"",""concept_id"":""Organism::NCBITaxon:9606"",""entity_type"":""Organism""}]",[],[],[],NO,NO,NO,INCORRECT,INCORRECT,INCORRECT,gold_concept_links_json
