scorer_key,excluded_outer_folds,training_annotation_rows,excluded_annotation_rows,training_claim_clusters,irrelevant,partial,relevant,non_actionable,actionable,test_linked_annotations_in_training,relevance_model,relevance_model_sha256,actionability_model,actionability_model_sha256
exclude_0,0,449,25,216,205,220,24,370,79,0,exclude_0_path_relevance.joblib,560fec14c728f9995c735f6530a3edbdbb62d870b5995db925bac830d744098a,exclude_0_actionability.joblib,95b4e995147777b2f8730a86a391c78cb01910c15a6c72c0e9a048dc7e4f02a3
exclude_1,1,439,35,218,212,206,21,364,75,0,exclude_1_path_relevance.joblib,7f091fdcc07de291cd16359e567f1345dc6f061113aacc349e417d8fdf7d719c,exclude_1_actionability.joblib,318469ab71dda30c67eb20531b0f8ea0e798b553cc988d5b4be38dbc94cd305e
exclude_2,2,434,40,211,210,201,23,361,73,0,exclude_2_path_relevance.joblib,13b42e7246f0c2a71aa436f8462e4bd274dd3a183e3e1cf8e060290abd32a8a1,exclude_2_actionability.joblib,e5ff3259a6e16b6560ad2717ff2e4dd2d2cc41e6dcbc320fd03e43178ea6fb08
exclude_3,3,439,35,212,205,213,21,366,73,0,exclude_3_path_relevance.joblib,833c27dae0ccca64136cd5885ff47ae5712d9d8ebe01b89c9123d3d279f15189,exclude_3_actionability.joblib,da36f0eb873b21849ce8ead6e9fe1d52666a0741f724592a4685fe37155937dc
exclude_4,4,442,32,215,203,215,24,361,81,0,exclude_4_path_relevance.joblib,7c71c81bb12727618b11428a01e7de86a113b57d1660a3a921d269d62606896e,exclude_4_actionability.joblib,a0934abc08542cb5f9879c69db4f0a2d88f25e90da99d0881ceec4d02f486dc5
exclude_0_1,0;1,414,60,206,198,195,21,341,73,0,exclude_0_1_path_relevance.joblib,f396a6981cc9f37599cc5f6d8a530d43e17ad8e733f5f528b9120d8165b1bd24,exclude_0_1_actionability.joblib,17771b497c69b2fa13d168dccde0cfd350314d0079bf48c03aff6ab91d21cd8f
exclude_0_2,0;2,409,65,200,196,190,23,338,71,0,exclude_0_2_path_relevance.joblib,ebf300e6ecd6793f66ca4f4ca765338bd15824fe3a207a0940c03edd98d3fe38,exclude_0_2_actionability.joblib,4dd6ad8555a8210328195e7a9826409cd901a856490494f0015332c02e6bb825
exclude_0_3,0;3,414,60,201,191,202,21,343,71,0,exclude_0_3_path_relevance.joblib,1751022a241ede7dac7b671afb06f8b1db1ce0022387df43df714da847f6628f,exclude_0_3_actionability.joblib,f7a0eced8acf6ec9055547c06940582b58846bd76f57f2270992aebaea928913
exclude_0_4,0;4,417,57,204,189,204,24,338,79,0,exclude_0_4_path_relevance.joblib,86e67807d3f71ea5cb7587095e3d4ea05e5b5f908a69ef49eed8f452330b48bf,exclude_0_4_actionability.joblib,2def1c3407366eee8a4029d6fc3a27b3209becf34501927eadbbb7653d30f385
exclude_1_2,1;2,402,72,202,203,179,20,333,69,0,exclude_1_2_path_relevance.joblib,0067ee47c750d6f30e41d99e53f3fd990a7f23939b0c5099248ad450d40caa0b,exclude_1_2_actionability.joblib,2efab823ccf23e7b16fa8e1fd19ad3a130602d81f0388e3c93b4299c219aefe1
exclude_1_3,1;3,404,70,203,198,188,18,337,67,0,exclude_1_3_path_relevance.joblib,ffea2c7550ed691239cf15171bc3a8b10665467ebd67243f684325e96c2deac8,exclude_1_3_actionability.joblib,0c03e3e65536da5b8dd08f4cd5b398f668fd573734bd2c2e880763d73e6d0d3d
exclude_1_4,1;4,407,67,206,196,190,21,332,75,0,exclude_1_4_path_relevance.joblib,32d5881b0f0f0915c68f930090e30ad51840f28d4da0b96bfa677de73c49da7d,exclude_1_4_actionability.joblib,a735a94aa33ee04ca96da3908ffe1d76674c85f4c6ca808c3dd211b58b3e589f
exclude_2_3,2;3,399,75,196,196,183,20,334,65,0,exclude_2_3_path_relevance.joblib,36ffdef4cdc5ac7d37c8a53f3b066a2a31dd6816c89be937b49fae85e11058b5,exclude_2_3_actionability.joblib,881dc9fbac44a5e432d2bda973faff59fcf7c6fc9d5f5f808740f6c3b57889a2
exclude_2_4,2;4,402,72,199,194,185,23,329,73,0,exclude_2_4_path_relevance.joblib,8660a1022db26610f9fc32227d2d4eb763f9513111ea160216021c8fa90a6e7b,exclude_2_4_actionability.joblib,cd0d1001fa48ecd972a9fe838bafc1d65850b9a7ee1d69e7fb1c2caf6afe1d6c
exclude_3_4,3;4,407,67,200,189,197,21,334,73,0,exclude_3_4_path_relevance.joblib,e56d0a0c29aca060d02f9478fc26fe4189b571446a242475868b3a0af7b2056f,exclude_3_4_actionability.joblib,b0a51bdd7113ada503492829e9fe554751d353b4dc398286535e52e6b637f458
