method,budget,reviewed_count,captured_false_supports,reviewed_correct_supports,review_cost_ratio_lambda,normalized_net_gain
random,0.01,10.0,3.544,6.456,0.01,0.00574
random,0.01,10.0,3.544,6.456,0.05,0.005073333333333333
random,0.01,10.0,3.544,6.456,0.1,0.00424
random,0.01,10.0,3.544,6.456,0.2,0.0025733333333333333
random,0.01,10.0,3.544,6.456,0.5,-0.002426666666666667
random,0.02,15.0,5.215,9.785,0.01,0.008441666666666665
random,0.02,15.0,5.215,9.785,0.05,0.007441666666666667
random,0.02,15.0,5.215,9.785,0.1,0.0061916666666666665
random,0.02,15.0,5.215,9.785,0.2,0.0036916666666666664
random,0.02,15.0,5.215,9.785,0.5,-0.0038083333333333337
random,0.05,32.0,10.895,21.105,0.01,0.017625
random,0.05,32.0,10.895,21.105,0.05,0.015491666666666666
random,0.05,32.0,10.895,21.105,0.1,0.012825
random,0.05,32.0,10.895,21.105,0.2,0.007491666666666666
random,0.05,32.0,10.895,21.105,0.5,-0.008508333333333335
random,0.1,63.0,21.593,41.407,0.01,0.034938333333333335
random,0.1,63.0,21.593,41.407,0.05,0.03073833333333333
random,0.1,63.0,21.593,41.407,0.1,0.02548833333333333
random,0.1,63.0,21.593,41.407,0.2,0.014988333333333331
random,0.1,63.0,21.593,41.407,0.5,-0.016511666666666668
random,0.2,117.0,39.659,77.341,0.01,0.06414833333333333
random,0.2,117.0,39.659,77.341,0.05,0.05634833333333333
random,0.2,117.0,39.659,77.341,0.1,0.046598333333333325
random,0.2,117.0,39.659,77.341,0.2,0.02709833333333333
random,0.2,117.0,39.659,77.341,0.5,-0.03140166666666667
confidence,0.01,10,6,4,0.01,0.009833333333333335
confidence,0.01,10,6,4,0.05,0.009166666666666667
confidence,0.01,10,6,4,0.1,0.008333333333333333
confidence,0.01,10,6,4,0.2,0.006666666666666667
confidence,0.01,10,6,4,0.5,0.0016666666666666668
confidence,0.02,15,7,8,0.01,0.011416666666666665
confidence,0.02,15,7,8,0.05,0.010416666666666666
confidence,0.02,15,7,8,0.1,0.009166666666666667
confidence,0.02,15,7,8,0.2,0.006666666666666667
confidence,0.02,15,7,8,0.5,-0.0008333333333333334
confidence,0.05,32,13,19,0.01,0.021133333333333334
confidence,0.05,32,13,19,0.05,0.019
confidence,0.05,32,13,19,0.1,0.016333333333333335
confidence,0.05,32,13,19,0.2,0.011
confidence,0.05,32,13,19,0.5,-0.005
confidence,0.1,63,24,39,0.01,0.03895
confidence,0.1,63,24,39,0.05,0.03475
confidence,0.1,63,24,39,0.1,0.0295
confidence,0.1,63,24,39,0.2,0.018999999999999996
confidence,0.1,63,24,39,0.5,-0.0125
confidence,0.2,117,36,81,0.01,0.05805
confidence,0.2,117,36,81,0.05,0.050249999999999996
confidence,0.2,117,36,81,0.1,0.040499999999999994
confidence,0.2,117,36,81,0.2,0.020999999999999998
confidence,0.2,117,36,81,0.5,-0.0375
rule,0.01,10,4,6,0.01,0.0065
rule,0.01,10,4,6,0.05,0.005833333333333334
rule,0.01,10,4,6,0.1,0.005
rule,0.01,10,4,6,0.2,0.0033333333333333335
rule,0.01,10,4,6,0.5,-0.0016666666666666668
rule,0.02,15,5,10,0.01,0.008083333333333333
rule,0.02,15,5,10,0.05,0.007083333333333333
rule,0.02,15,5,10,0.1,0.005833333333333334
rule,0.02,15,5,10,0.2,0.0033333333333333335
rule,0.02,15,5,10,0.5,-0.004166666666666667
rule,0.05,32,12,20,0.01,0.019466666666666667
rule,0.05,32,12,20,0.05,0.017333333333333333
rule,0.05,32,12,20,0.1,0.014666666666666668
rule,0.05,32,12,20,0.2,0.009333333333333332
rule,0.05,32,12,20,0.5,-0.006666666666666667
rule,0.1,63,21,42,0.01,0.03395
rule,0.1,63,21,42,0.05,0.029750000000000002
rule,0.1,63,21,42,0.1,0.024499999999999997
rule,0.1,63,21,42,0.2,0.013999999999999997
rule,0.1,63,21,42,0.5,-0.0175
rule,0.2,117,41,76,0.01,0.06638333333333334
rule,0.2,117,41,76,0.05,0.05858333333333333
rule,0.2,117,41,76,0.1,0.048833333333333326
rule,0.2,117,41,76,0.2,0.02933333333333333
rule,0.2,117,41,76,0.5,-0.029166666666666667
learned,0.01,10,5,5,0.01,0.008166666666666668
learned,0.01,10,5,5,0.05,0.0075
learned,0.01,10,5,5,0.1,0.006666666666666667
learned,0.01,10,5,5,0.2,0.005
learned,0.01,10,5,5,0.5,0.0
learned,0.02,15,9,6,0.01,0.01475
learned,0.02,15,9,6,0.05,0.01375
learned,0.02,15,9,6,0.1,0.0125
learned,0.02,15,9,6,0.2,0.01
learned,0.02,15,9,6,0.5,0.0025
learned,0.05,32,15,17,0.01,0.024466666666666668
learned,0.05,32,15,17,0.05,0.022333333333333334
learned,0.05,32,15,17,0.1,0.01966666666666667
learned,0.05,32,15,17,0.2,0.014333333333333333
learned,0.05,32,15,17,0.5,-0.0016666666666666668
learned,0.1,63,26,37,0.01,0.04228333333333333
learned,0.1,63,26,37,0.05,0.03808333333333334
learned,0.1,63,26,37,0.1,0.03283333333333333
learned,0.1,63,26,37,0.2,0.02233333333333333
learned,0.1,63,26,37,0.5,-0.009166666666666667
learned,0.2,117,38,79,0.01,0.06138333333333333
learned,0.2,117,38,79,0.05,0.05358333333333333
learned,0.2,117,38,79,0.1,0.04383333333333333
learned,0.2,117,38,79,0.2,0.02433333333333333
learned,0.2,117,38,79,0.5,-0.034166666666666665
oracle,0.01,10,10,0,0.01,0.0165
oracle,0.01,10,10,0,0.05,0.015833333333333335
oracle,0.01,10,10,0,0.1,0.015
oracle,0.01,10,10,0,0.2,0.013333333333333334
oracle,0.01,10,10,0,0.5,0.008333333333333333
oracle,0.02,15,15,0,0.01,0.024749999999999998
oracle,0.02,15,15,0,0.05,0.02375
oracle,0.02,15,15,0,0.1,0.0225
oracle,0.02,15,15,0,0.2,0.02
oracle,0.02,15,15,0,0.5,0.0125
oracle,0.05,32,32,0,0.01,0.0528
oracle,0.05,32,32,0,0.05,0.050666666666666665
oracle,0.05,32,32,0,0.1,0.048
oracle,0.05,32,32,0,0.2,0.04266666666666667
oracle,0.05,32,32,0,0.5,0.02666666666666667
oracle,0.1,63,44,19,0.01,0.07228333333333332
oracle,0.1,63,44,19,0.05,0.06808333333333333
oracle,0.1,63,44,19,0.1,0.06283333333333334
oracle,0.1,63,44,19,0.2,0.05233333333333333
oracle,0.1,63,44,19,0.5,0.020833333333333332
oracle,0.2,117,45,72,0.01,0.07305
oracle,0.2,117,45,72,0.05,0.06525
oracle,0.2,117,45,72,0.1,0.055499999999999994
oracle,0.2,117,45,72,0.2,0.036
oracle,0.2,117,45,72,0.5,-0.0225
