domain,method,count,accuracy,macro_f1,support_predictions,support_precision,support_recall,support_f1,false_support_count,false_support_rate
formal600,provided_text,600,0.585,0.5857622328210564,133,0.6616541353383458,0.44,0.5285285285285285,45,0.3383458646616541
formal600,provided_text_plus_extra_bm25,600,0.6116666666666667,0.6172372318257942,223,0.57847533632287,0.645,0.6099290780141844,94,0.42152466367713004
formal600,provided_text_plus_kg_paths,600,0.6083333333333333,0.6140038362687483,159,0.660377358490566,0.525,0.584958217270195,54,0.33962264150943394
formal600,provided_text_plus_kg_plus_extra_bm25,600,0.59,0.5954628201564817,231,0.5541125541125541,0.64,0.5939675174013921,103,0.4458874458874459
formal600,direct_llm,600,0.5116666666666667,0.4983181764403522,316,0.4778481012658228,0.755,0.5852713178294574,165,0.5221518987341772
formal600,kg_only_local_paths_diagnostic,600,0.3283333333333333,0.18501936976061387,13,0.15384615384615385,0.01,0.018779342723004695,11,0.8461538461538461
formal600,bm25_only_diagnostic,600,0.4716666666666667,0.465904645440304,197,0.5329949238578681,0.525,0.5289672544080605,92,0.467005076142132
pubmedqa,provided_text,300,0.5833333333333334,0.5695655975983319,124,0.5725806451612904,0.71,0.6339285714285714,53,0.4274193548387097
pubmedqa,provided_text_plus_extra_bm25,300,0.5966666666666667,0.5809655948027634,130,0.5923076923076923,0.77,0.6695652173913044,53,0.4076923076923077
pubmedqa,provided_text_plus_kg_paths,300,0.5866666666666667,0.5726501348138596,126,0.5793650793650794,0.73,0.6460176991150443,53,0.42063492063492064
pubmedqa,provided_text_plus_kg_plus_extra_bm25,300,0.5633333333333334,0.536306569211296,136,0.5588235294117647,0.76,0.6440677966101694,60,0.4411764705882353
pubmedqa,direct_llm,300,0.36333333333333334,0.35795948346666373,114,0.37719298245614036,0.43,0.40186915887850466,71,0.6228070175438597
pubmedqa,kg_only_local_paths_diagnostic,300,0.33666666666666667,0.1736850376767,1,1.0,0.01,0.019801980198019802,0,0.0
