field,value,count,n,rate,ci_low,ci_high
claim_faithfulness,INVALID,0,60,0.0,0.0,0.06017185214208986
claim_faithfulness,VALID,60,60,1.0,0.93982814785791,0.9999999999999998
atomicity,ATOMIC,55,60,0.9166666666666666,0.8193105798166558,0.9638795433982692
atomicity,NON_ATOMIC,5,60,0.08333333333333333,0.03612045660173077,0.1806894201833441
label_compatibility,AMBIGUOUS,0,60,0.0,0.0,0.06017185214208986
label_compatibility,COMPATIBLE,44,60,0.7333333333333333,0.6099128690331636,0.8286735999671945
label_compatibility,INCOMPATIBLE,16,60,0.26666666666666666,0.17132640003280553,0.39008713096683645
pico_preservation,COMPLETE,60,60,1.0,0.93982814785791,0.9999999999999998
pico_preservation,NOT_APPLICABLE,0,60,0.0,0.0,0.06017185214208986
pico_preservation,PARTIAL,0,60,0.0,0.0,0.06017185214208986
modality_strength,CHANGED,0,60,0.0,0.0,0.06017185214208986
modality_strength,PRESERVED,60,60,1.0,0.93982814785791,0.9999999999999998
modality_strength,STRENGTHENED,0,60,0.0,0.0,0.06017185214208986
modality_strength,WEAKENED,0,60,0.0,0.0,0.06017185214208986
