method,budget,reviewer_sensitivity,review_cost_ratio_lambda,observed_normalized_idealized_net_gain,bootstrap_mean,ci_low,ci_high,iterations,resampling_unit,models_retrained_within_bootstrap
confidence,0.01,0.6,0.01,0.005833333333333333,0.003961290510395104,0.0009488855228967265,0.007633963339277065,5000,claim_source_component,False
confidence,0.01,0.6,0.05,0.005166666666666666,0.003401574360121036,0.00040120017642825644,0.007049896570736359,5000,claim_source_component,False
confidence,0.01,0.6,0.1,0.004333333333333333,0.002701929172278453,-0.0003021955213210028,0.006299212598425197,5000,claim_source_component,False
confidence,0.01,0.6,0.2,0.002666666666666666,0.0013026387965932862,-0.0015968063872255492,0.004761904761904762,5000,claim_source_component,False
confidence,0.01,0.6,0.5,-0.002333333333333334,-0.0028952323304622138,-0.005757771552503162,0.00024220493282058392,5000,claim_source_component,False
confidence,0.01,0.8,0.01,0.007833333333333335,0.005328363693049645,0.0013081852193817685,0.010227261451213752,5000,claim_source_component,False
confidence,0.01,0.8,0.05,0.0071666666666666675,0.004768647542775577,0.0007640067911714771,0.009647495361781076,5000,claim_source_component,False
confidence,0.01,0.8,0.1,0.006333333333333335,0.004069002354932994,0.0,0.008901515151515152,5000,claim_source_component,False
confidence,0.01,0.8,0.2,0.004666666666666668,0.002669711979247827,-0.0012474012474012477,0.007356624319419235,5000,claim_source_component,False
confidence,0.01,0.8,0.5,-0.00033333333333333213,-0.001528159147807673,-0.005339974045948285,0.0029147982062780286,5000,claim_source_component,False
confidence,0.01,1.0,0.01,0.009833333333333335,0.006695436875704184,0.0016666666666666668,0.012820559563150435,5000,claim_source_component,False
confidence,0.01,1.0,0.05,0.009166666666666667,0.006135720725430116,0.0011214430185520993,0.012244897959183673,5000,claim_source_component,False
confidence,0.01,1.0,0.1,0.008333333333333333,0.005436075537587533,0.00040120017642825644,0.011496897122090798,5000,claim_source_component,False
confidence,0.01,1.0,0.2,0.006666666666666667,0.004036785161902367,-0.0009065865639630083,0.009973753280839895,5000,claim_source_component,False
confidence,0.01,1.0,0.5,0.0016666666666666668,-0.00016108596515313346,-0.004970178926441352,0.005507523662541378,5000,claim_source_component,False
confidence,0.02,0.6,0.01,0.00675,0.006972107655304859,0.0028845284237726094,0.0118629409064917,5000,claim_source_component,False
confidence,0.02,0.6,0.05,0.00575,0.006026290411074398,0.0019468764505937133,0.010875107545103754,5000,claim_source_component,False
confidence,0.02,0.6,0.1,0.0045000000000000005,0.00484401885578632,0.0007574333561175665,0.009641255605381163,5000,claim_source_component,False
confidence,0.02,0.6,0.2,0.0020000000000000005,0.002479475745210164,-0.0015875733855185911,0.007179999999999992,5000,claim_source_component,False
confidence,0.02,0.6,0.5,-0.0055,-0.004614153586518301,-0.008768676507842682,0.0,5000,claim_source_component,False
confidence,0.02,0.8,0.01,0.009083333333333334,0.009374961644092352,0.003927020466189212,0.01589742152466367,5000,claim_source_component,False
confidence,0.02,0.8,0.05,0.008083333333333335,0.00842914439986189,0.002982356080314856,0.014911439982383071,5000,claim_source_component,False
confidence,0.02,0.8,0.1,0.0068333333333333345,0.0072468728445738125,0.0018107191428666206,0.013677130044843049,5000,claim_source_component,False
confidence,0.02,0.8,0.2,0.004333333333333334,0.004882329733997657,-0.0005293501048218028,0.011210762331838564,5000,claim_source_component,False
confidence,0.02,0.8,0.5,-0.0031666666666666657,-0.0022112995977308083,-0.007665060973884503,0.003937041581274943,5000,claim_source_component,False
confidence,0.02,1.0,0.01,0.011416666666666665,0.011777815632879841,0.004964970986114464,0.019933295964125554,5000,claim_source_component,False
