method,budget,reviewed_count,captured_false_supports,reviewer_sensitivity,review_cost_ratio_lambda,normalized_idealized_net_gain
confidence,0.01,10,6,0.6,0.01,0.005833333333333333
confidence,0.01,10,6,0.6,0.05,0.005166666666666666
confidence,0.01,10,6,0.6,0.1,0.004333333333333333
confidence,0.01,10,6,0.6,0.2,0.002666666666666666
confidence,0.01,10,6,0.6,0.5,-0.002333333333333334
confidence,0.01,10,6,0.8,0.01,0.007833333333333335
confidence,0.01,10,6,0.8,0.05,0.0071666666666666675
confidence,0.01,10,6,0.8,0.1,0.006333333333333335
confidence,0.01,10,6,0.8,0.2,0.004666666666666668
confidence,0.01,10,6,0.8,0.5,-0.00033333333333333213
confidence,0.01,10,6,1.0,0.01,0.009833333333333335
confidence,0.01,10,6,1.0,0.05,0.009166666666666667
confidence,0.01,10,6,1.0,0.1,0.008333333333333333
confidence,0.01,10,6,1.0,0.2,0.006666666666666667
confidence,0.01,10,6,1.0,0.5,0.0016666666666666668
confidence,0.02,15,7,0.6,0.01,0.00675
confidence,0.02,15,7,0.6,0.05,0.00575
confidence,0.02,15,7,0.6,0.1,0.0045000000000000005
confidence,0.02,15,7,0.6,0.2,0.0020000000000000005
confidence,0.02,15,7,0.6,0.5,-0.0055
confidence,0.02,15,7,0.8,0.01,0.009083333333333334
confidence,0.02,15,7,0.8,0.05,0.008083333333333335
confidence,0.02,15,7,0.8,0.1,0.0068333333333333345
confidence,0.02,15,7,0.8,0.2,0.004333333333333334
confidence,0.02,15,7,0.8,0.5,-0.0031666666666666657
confidence,0.02,15,7,1.0,0.01,0.011416666666666665
confidence,0.02,15,7,1.0,0.05,0.010416666666666666
confidence,0.02,15,7,1.0,0.1,0.009166666666666667
confidence,0.02,15,7,1.0,0.2,0.006666666666666667
confidence,0.02,15,7,1.0,0.5,-0.0008333333333333334
confidence,0.05,32,13,0.6,0.01,0.012466666666666666
confidence,0.05,32,13,0.6,0.05,0.010333333333333332
confidence,0.05,32,13,0.6,0.1,0.007666666666666666
confidence,0.05,32,13,0.6,0.2,0.0023333333333333327
confidence,0.05,32,13,0.6,0.5,-0.013666666666666666
confidence,0.05,32,13,0.8,0.01,0.0168
confidence,0.05,32,13,0.8,0.05,0.014666666666666668
confidence,0.05,32,13,0.8,0.1,0.012
confidence,0.05,32,13,0.8,0.2,0.006666666666666667
confidence,0.05,32,13,0.8,0.5,-0.009333333333333332
confidence,0.05,32,13,1.0,0.01,0.021133333333333334
confidence,0.05,32,13,1.0,0.05,0.019
confidence,0.05,32,13,1.0,0.1,0.016333333333333335
confidence,0.05,32,13,1.0,0.2,0.011
confidence,0.05,32,13,1.0,0.5,-0.005
confidence,0.1,63,24,0.6,0.01,0.022949999999999995
confidence,0.1,63,24,0.6,0.05,0.018749999999999996
confidence,0.1,63,24,0.6,0.1,0.013499999999999996
confidence,0.1,63,24,0.6,0.2,0.0029999999999999953
confidence,0.1,63,24,0.6,0.5,-0.0285
confidence,0.1,63,24,0.8,0.01,0.030950000000000005
