method,auroc,average_precision,reviewed,error_detection_precision,error_detection_recall,selective_risk,iterations,resampling_unit,auroc_ci_low,auroc_ci_high,average_precision_ci_low,average_precision_ci_high,error_detection_precision_ci_low,error_detection_precision_ci_high,error_detection_recall_ci_low,error_detection_recall_ci_high,selective_risk_ci_low,selective_risk_ci_high
confidence_only_features,0.6069444444444445,0.41186686040167997,32,0.40625,0.28888888888888886,0.4154929577464789,5000,claim_source_component,0.501008064516129,0.7133333333333333,0.295831060232147,0.6466574158249505,0.23809523809523808,0.6956521739130435,0.16981132075471697,0.5172413793103449,0.3382352941176471,0.4723926380368098
dataset_source_only,0.47676767676767673,0.3222509426644464,32,0.40625,0.28888888888888886,0.4154929577464789,5000,claim_source_component,0.3693404634581105,0.7166666666666669,0.23039480082997593,0.7286419948119542,0.15625,0.6896551724137931,0.125,0.475,0.3418467583497053,0.4766949152542373
kg_evidence_state_only,0.6422979797979798,0.5056820946719972,32,0.34375,0.24444444444444444,0.41901408450704225,5000,claim_source_component,0.5362132352941177,0.7261437908496733,0.36555500943970487,0.7014647881622835,0.23076923076923078,0.6956521739130435,0.175,0.5,0.34172661870503596,0.4718934911242604
semantic_rules_only,0.3366161616161616,0.2633525111573605,32,0.125,0.08888888888888889,0.43133802816901406,5000,claim_source_component,0.20961791831357052,0.43663708086785014,0.18655975875612008,0.4340395917173451,0.037037037037037035,0.375,0.02857142857142857,0.27586206896551724,0.3524416135881104,0.4881118881118881
path_statistics_only,0.5093434343434343,0.3879681554326647,32,0.4375,0.3111111111111111,0.4137323943661972,5000,claim_source_component,0.38087905935050387,0.6301158301158302,0.2796378322881007,0.5817530440118447,0.2413793103448276,0.6363636363636364,0.18181818181818182,0.47368421052631576,0.342,0.47244094488188976
evidence_scorer_only,0.484469696969697,0.3955575392320704,32,0.375,0.26666666666666666,0.41725352112676056,5000,claim_source_component,0.3829423264907136,0.6402439024390245,0.24961676233222563,0.6192836340218754,0.16666666666666666,0.6666666666666666,0.13114754098360656,0.45454545454545453,0.34106728538283065,0.4744525547445255
confidence_plus_kg_rules,0.6128787878787879,0.4573025433716671,32,0.53125,0.37777777777777777,0.4084507042253521,5000,claim_source_component,0.4844594594594595,0.7057245080500895,0.3427859156214943,0.6308305442770349,0.36,0.7142857142857143,0.2608695652173913,0.5217391304347826,0.33424657534246577,0.4684287812041116
confidence_plus_evidence_scorer,0.51489898989899,0.36265734805808864,32,0.375,0.26666666666666666,0.41725352112676056,5000,claim_source_component,0.40708963648679164,0.6532258064516129,0.24012392414554448,0.6248398799994274,0.20512820512820512,0.6521739130434783,0.1518987341772152,0.475,0.33989266547406083,0.47522935779816516
full_without_dataset_source,0.6332070707070707,0.4913390004117973,32,0.46875,0.3333333333333333,0.4119718309859155,5000,claim_source_component,0.48263888888888895,0.7256534192624418,0.362371306260034,0.653931015975089,0.3125,0.6774193548387096,0.22448979591836735,0.5128205128205128,0.33647058823529413,0.4709371293001186
full_with_dataset_source,0.5073232323232324,0.3372839644268716,32,0.4375,0.3111111111111111,0.4137323943661972,5000,claim_source_component,0.39693134535367547,0.6684601113172541,0.2561324589027889,0.6281752753770811,0.25,0.6666666666666666,0.19047619047619047,0.4857142857142857,0.3389513108614232,0.47313432835820896
