method,support_predictions,error_events,non_error_events,auroc,average_precision,brier_score,ece_10_bins,mean_risk_false_support,mean_risk_correct_support
self_reported_confidence,133,45,88,0.6159090909090909,0.42229585262591507,0.2820142857142857,0.25511278195488724,0.10111111111111111,0.07409090909090911
rule_matched_budget,133,45,88,0.5940656565656566,0.39258367105545294,0.2750375939849624,0.21729323308270676,0.5922222222222221,0.5164772727272727
confidence_only_features,133,45,88,0.6069444444444445,0.41186686040167997,0.24997843119649438,0.16164653115827024,0.5000206635818141,0.4999779407144128
dataset_source_only,133,45,88,0.47676767676767673,0.3222509426644464,0.2517537102777645,0.16505771929809993,0.5026246875351054,0.503801883267813
kg_evidence_state_only,133,45,88,0.6422979797979798,0.5056820946719972,0.23630509263646127,0.17368697998208996,0.5394347963893646,0.45314954318989714
semantic_rules_only,133,45,88,0.3366161616161616,0.2633525111573605,0.29790761605683164,0.23379728842333203,0.46713610177402853,0.5379760654579028
path_statistics_only,133,45,88,0.5093434343434343,0.3879681554326647,0.26514655334948517,0.20774728394914563,0.49250539736451765,0.4902724129233325
evidence_scorer_only,133,45,88,0.484469696969697,0.3955575392320704,0.2497304361030846,0.16147996549205773,0.5001453232985749,0.4996624529773612
confidence_plus_kg_rules,133,45,88,0.6128787878787879,0.4573025433716671,0.25947869033714016,0.2117626453895791,0.5216862125758046,0.4667936589392358
confidence_plus_evidence_scorer,133,45,88,0.51489898989899,0.36265734805808864,0.2494457166922186,0.16014200469283033,0.4966592830925336,0.49363725578312256
full_without_dataset_source,133,45,88,0.6332070707070707,0.4913390004117973,0.2382163689351954,0.1698354193582763,0.4968281797095612,0.4331286146707298
full_with_dataset_source,133,45,88,0.5073232323232324,0.3372839644268716,0.2856836526933788,0.255711646023721,0.5137392149928589,0.5198079130416218
oracle,133,45,88,1.0,1.0,0.0,0.0,1.0,0.0
