method,budget,reviewed_count,review_rate,coverage,selective_accuracy,selective_risk,selective_macro_f1,detected_false_supports,missed_false_supports,incorrectly_reviewed_correct_supports,error_detection_precision,error_detection_recall,accepted_support_predictions,accepted_support_precision,accepted_false_support_rate,oracle_review_accuracy_upper_bound
self_reported_confidence,0.01,10,0.016666666666666666,0.9833333333333333,0.588135593220339,0.41186440677966096,0.5890314243361557,6,39,4,0.6,0.13333333333333333,123,0.6829268292682926,0.3170731707317073,0.595
self_reported_confidence,0.02,15,0.025,0.975,0.5863247863247864,0.41367521367521365,0.5862493599590374,7,38,8,0.4666666666666667,0.15555555555555556,118,0.6779661016949152,0.3220338983050847,0.5966666666666667
self_reported_confidence,0.05,32,0.05333333333333334,0.9466666666666667,0.5845070422535211,0.4154929577464789,0.5798248971236944,13,32,19,0.40625,0.28888888888888886,101,0.6831683168316831,0.31683168316831684,0.6066666666666667
self_reported_confidence,0.1,63,0.105,0.895,0.5810055865921788,0.4189944134078212,0.563612994975113,24,21,39,0.38095238095238093,0.5333333333333333,70,0.7,0.3,0.625
self_reported_confidence,0.2,117,0.195,0.805,0.5590062111801242,0.44099378881987583,0.4623938261250721,36,9,81,0.3076923076923077,0.8,16,0.4375,0.5625,0.645
rule_matched_budget,0.01,10,0.016666666666666666,0.9833333333333333,0.5847457627118644,0.4152542372881356,0.5841422974998146,4,41,6,0.4,0.08888888888888889,123,0.6666666666666667,0.3333333333333333,0.5916666666666667
rule_matched_budget,0.02,15,0.025,0.975,0.582905982905983,0.41709401709401706,0.5812326952092092,5,40,10,0.3333333333333333,0.1111111111111111,118,0.6610169491525424,0.3389830508474576,0.5933333333333334
rule_matched_budget,0.05,32,0.05333333333333334,0.9466666666666667,0.5827464788732394,0.4172535211267606,0.5780544969856181,12,33,20,0.375,0.26666666666666666,101,0.6732673267326732,0.32673267326732675,0.605
rule_matched_budget,0.1,63,0.105,0.895,0.5754189944134078,0.4245810055865922,0.555223644697329,21,24,42,0.3333333333333333,0.4666666666666667,70,0.6571428571428571,0.34285714285714286,0.62
rule_matched_budget,0.2,117,0.195,0.805,0.5693581780538303,0.43064182194616973,0.4876540940617112,41,4,76,0.3504273504273504,0.9111111111111111,16,0.75,0.25,0.6533333333333333
confidence_only_features,0.01,10,0.016666666666666666,0.9833333333333333,0.588135593220339,0.41186440677966096,0.5890314243361557,6,39,4,0.6,0.13333333333333333,123,0.6829268292682926,0.3170731707317073,0.595
confidence_only_features,0.02,15,0.025,0.975,0.5863247863247864,0.41367521367521365,0.5862493599590374,7,38,8,0.4666666666666667,0.15555555555555556,118,0.6779661016949152,0.3220338983050847,0.5966666666666667
confidence_only_features,0.05,32,0.05333333333333334,0.9466666666666667,0.5845070422535211,0.4154929577464789,0.5798248971236944,13,32,19,0.40625,0.28888888888888886,101,0.6831683168316831,0.31683168316831684,0.6066666666666667
confidence_only_features,0.1,63,0.105,0.895,0.5810055865921788,0.4189944134078212,0.563612994975113,24,21,39,0.38095238095238093,0.5333333333333333,70,0.7,0.3,0.625
confidence_only_features,0.2,117,0.195,0.805,0.5590062111801242,0.44099378881987583,0.4623938261250721,36,9,81,0.3076923076923077,0.8,16,0.4375,0.5625,0.645
dataset_source_only,0.01,10,0.016666666666666666,0.9833333333333333,0.5813559322033899,0.4186440677966101,0.5795997588063252,2,43,8,0.2,0.044444444444444446,123,0.6504065040650406,0.34959349593495936,0.5883333333333334
dataset_source_only,0.02,15,0.025,0.975,0.5811965811965812,0.41880341880341876,0.5782037151130125,4,41,11,0.26666666666666666,0.08888888888888889,118,0.652542372881356,0.3474576271186441,0.5916666666666667
dataset_source_only,0.05,32,0.05333333333333334,0.9466666666666667,0.5845070422535211,0.4154929577464789,0.577692516374065,13,32,19,0.40625,0.28888888888888886,101,0.6831683168316831,0.31683168316831684,0.6066666666666667
dataset_source_only,0.1,63,0.105,0.895,0.5810055865921788,0.4189944134078212,0.5621261553166924,24,21,39,0.38095238095238093,0.5333333333333333,70,0.7,0.3,0.625
dataset_source_only,0.2,117,0.195,0.805,0.5610766045548654,0.4389233954451346,0.46703805933683934,37,8,80,0.3162393162393162,0.8222222222222222,16,0.5,0.5,0.6466666666666666
kg_evidence_state_only,0.01,10,0.016666666666666666,0.9833333333333333,0.5847457627118644,0.4152542372881356,0.5841422974998146,4,41,6,0.4,0.08888888888888889,123,0.6666666666666667,0.3333333333333333,0.5916666666666667
kg_evidence_state_only,0.02,15,0.025,0.975,0.588034188034188,0.41196581196581195,0.5874555163622982,8,37,7,0.5333333333333333,0.17777777777777778,118,0.6864406779661016,0.3135593220338983,0.5983333333333334
kg_evidence_state_only,0.05,32,0.05333333333333334,0.9466666666666667,0.5809859154929577,0.41901408450704225,0.5751433139202923,11,34,21,0.34375,0.24444444444444444,101,0.6633663366336633,0.33663366336633666,0.6033333333333334
kg_evidence_state_only,0.1,63,0.105,0.895,0.5865921787709497,0.4134078212290503,0.5707039703356461,27,18,36,0.42857142857142855,0.6,70,0.7428571428571429,0.2571428571428571,0.63
kg_evidence_state_only,0.2,117,0.195,0.805,0.5652173913043478,0.4347826086956522,0.4772773515784192,39,6,78,0.3333333333333333,0.8666666666666667,16,0.625,0.375,0.65
semantic_rules_only,0.01,10,0.016666666666666666,0.9833333333333333,0.5779661016949152,0.42203389830508475,0.5757202419483946,0,45,10,0.0,0.0,123,0.6341463414634146,0.36585365853658536,0.585
semantic_rules_only,0.02,15,0.025,0.975,0.5777777777777777,0.4222222222222223,0.5745706479313037,2,43,13,0.13333333333333333,0.044444444444444446,118,0.6355932203389831,0.3644067796610169,0.5883333333333334
semantic_rules_only,0.05,32,0.05333333333333334,0.9466666666666667,0.5686619718309859,0.4313380281690141,0.5582123914437256,4,41,28,0.125,0.08888888888888889,101,0.594059405940594,0.40594059405940597,0.5916666666666667
semantic_rules_only,0.1,63,0.105,0.895,0.5679702048417132,0.43202979515828677,0.5446671247518705,17,28,46,0.2698412698412698,0.37777777777777777,70,0.6,0.4,0.6133333333333333
semantic_rules_only,0.2,117,0.195,0.805,0.5486542443064182,0.4513457556935818,0.4358153389737498,31,14,86,0.26495726495726496,0.6888888888888889,16,0.125,0.875,0.6366666666666667
path_statistics_only,0.01,10,0.016666666666666666,0.9833333333333333,0.5847457627118644,0.4152542372881356,0.5837903193369147,4,41,6,0.4,0.08888888888888889,123,0.6666666666666667,0.3333333333333333,0.5916666666666667
path_statistics_only,0.02,15,0.025,0.975,0.582905982905983,0.41709401709401706,0.5805253541133696,5,40,10,0.3333333333333333,0.1111111111111111,118,0.6610169491525424,0.3389830508474576,0.5933333333333334
path_statistics_only,0.05,32,0.05333333333333334,0.9466666666666667,0.5862676056338029,0.41373239436619713,0.5812295080991019,14,31,18,0.4375,0.3111111111111111,101,0.693069306930693,0.3069306930693069,0.6083333333333333
path_statistics_only,0.1,63,0.105,0.895,0.5791433891992551,0.4208566108007449,0.560204880232435,23,22,40,0.36507936507936506,0.5111111111111111,70,0.6857142857142857,0.3142857142857143,0.6233333333333333
path_statistics_only,0.2,117,0.195,0.805,0.5631469979296067,0.43685300207039335,0.47200016087569924,38,7,79,0.3247863247863248,0.8444444444444444,16,0.5625,0.4375,0.6483333333333333
evidence_scorer_only,0.01,10,0.016666666666666666,0.9833333333333333,0.5864406779661017,0.41355932203389834,0.5856983781543181,5,40,5,0.5,0.1111111111111111,123,0.6747967479674797,0.3252032520325203,0.5933333333333334
evidence_scorer_only,0.02,15,0.025,0.975,0.588034188034188,0.41196581196581195,0.5874555163622982,8,37,7,0.5333333333333333,0.17777777777777778,118,0.6864406779661016,0.3135593220338983,0.5983333333333334
evidence_scorer_only,0.05,32,0.05333333333333334,0.9466666666666667,0.5827464788732394,0.4172535211267606,0.5773045643508277,12,33,20,0.375,0.26666666666666666,101,0.6732673267326732,0.32673267326732675,0.605
evidence_scorer_only,0.1,63,0.105,0.895,0.5679702048417132,0.43202979515828677,0.543892562352478,17,28,46,0.2698412698412698,0.37777777777777777,70,0.6,0.4,0.6133333333333333
evidence_scorer_only,0.2,117,0.195,0.805,0.5507246376811594,0.4492753623188406,0.4419862308922415,32,13,85,0.27350427350427353,0.7111111111111111,16,0.1875,0.8125,0.6383333333333333
confidence_plus_kg_rules,0.01,10,0.016666666666666666,0.9833333333333333,0.5847457627118644,0.4152542372881356,0.5848640247876368,4,41,6,0.4,0.08888888888888889,123,0.6666666666666667,0.3333333333333333,0.5916666666666667
confidence_plus_kg_rules,0.02,15,0.025,0.975,0.5863247863247864,0.41367521367521365,0.5858772385404043,7,38,8,0.4666666666666667,0.15555555555555556,118,0.6779661016949152,0.3220338983050847,0.5966666666666667
confidence_plus_kg_rules,0.05,32,0.05333333333333334,0.9466666666666667,0.5915492957746479,0.4084507042253521,0.5886779060838004,17,28,15,0.53125,0.37777777777777777,101,0.7227722772277227,0.27722772277227725,0.6133333333333333
confidence_plus_kg_rules,0.1,63,0.105,0.895,0.5865921787709497,0.4134078212290503,0.57107475122181,27,18,36,0.42857142857142855,0.6,70,0.7428571428571429,0.2571428571428571,0.63
confidence_plus_kg_rules,0.2,117,0.195,0.805,0.5652173913043478,0.4347826086956522,0.4772773515784192,39,6,78,0.3333333333333333,0.8666666666666667,16,0.625,0.375,0.65
